index,frequency_hz,source_peak,channel,pre,post,gain
1,100,0.0125,left,0.012499102520240434,5.123326562020248e-06,-67.74653582917361
2,100,0.0125,right,0.012499102520240434,3.5493326541090666e-06,-70.93464251221184
3,100,0.05,left,0.04999872185982281,2.4996123989007964e-05,-66.02172464330422
4,100,0.05,right,0.04999872185982281,2.7679016630000783e-05,-65.13616491613246
5,100,0.2,left,0.1999930078875383,9.998353476093223e-05,-66.02172651463148
6,100,0.2,right,0.1999930078875383,0.00011071500651416087,-65.13616644567408
7,250,0.0125,left,0.012501895122103954,6.455955454606091e-06,-65.7403065232734
8,250,0.0125,right,0.012501895122103954,7.232862972267764e-06,-64.75331227811303
9,250,0.05,left,0.049995315750658076,2.5817493431525654e-05,-65.74030480714461
10,250,0.05,right,0.049995315750658076,2.8924359054520538e-05,-64.75331143034961
11,250,0.2,left,0.19650487891434779,0.0001032755729840974,-65.58751449084055
12,250,0.2,right,0.14246071774935665,0.00011570370075406431,-61.80695756226443
13,315,0.0125,left,0.00998171099134733,6.874973264361195e-06,-63.238679552449625
14,315,0.0125,right,0.011628957914780021,7.688008026745508e-06,-63.59453941438035
15,315,0.05,left,0.04981367368803654,2.7499170817651808e-05,-65.16057945538441
16,315,0.05,right,0.0494242233721802,3.075122263738015e-05,-64.121549323765
17,315,0.2,left,0.19339516394092116,0.0001099961713993334,-64.90136081590465
18,315,0.2,right,0.196462692092239,0.00012300432915397983,-64.0671938809565
19,500,0.0125,left,0.012284800339242497,2.2680285706037454e-06,-74.67439162639798
20,500,0.0125,right,0.012284800339242497,6.4407210191571925e-06,-65.6086722880135
21,500,0.05,left,0.04877208482586648,2.009853537574108e-05,-67.70013819767338
22,500,0.05,right,0.04877208482586648,2.554175433414178e-05,-65.61841194041706
23,500,0.2,left,0.19509070961066183,9.855177512755531e-05,-65.9314427430101
24,500,0.2,right,0.19509070961066183,9.941514669257152e-05,-65.85568061460452
25,630,0.0125,left,0.012194976084937338,4.699404936217185e-06,-68.28276168492326
26,630,0.0125,right,0.012194976084937338,5.663847084572132e-06,-66.66138866874499
27,630,0.05,left,0.048777851214092956,1.8796667135373563e-05,-68.28283627893501
28,630,0.05,right,0.04216581951428455,2.2654376988885865e-05,-65.3961684440279
29,630,0.2,left,0.18966656918165176,4.17277246094649e-05,-73.15132169890231
30,630,0.2,right,0.18966656918165176,8.980012894630303e-05,-66.49427656348075
31,1000,0.0125,left,0.011853227110275383,4.544545866751649e-06,-68.32692229332503
32,1000,0.0125,right,0.011853227110275383,4.820892495808757e-06,-67.81418317348862
33,1000,0.05,left,0.02394281062783232,1.7972749094846185e-05,-62.49121238172474
34,1000,0.05,right,0.04634622510086467,1.9066081242973642e-05,-67.7150585474064
35,1000,0.2,left,0.1853820059976482,7.196420937832767e-05,-68.21902037683329
36,1000,0.2,right,0.1853820059976482,7.634592826306304e-05,-67.70563394801175
37,1250,0.0125,left,0.00617101771441783,4.5968938335661856e-06,-62.5578463874003
38,1250,0.0125,right,0.011186380692096863,4.749453255952195e-06,-67.44091954666294
39,1250,0.05,left,0.04473515473369187,1.8382937123579137e-05,-67.72468084204198
40,1250,0.05,right,0.04473515473369187,1.899330398255295e-05,-67.44096849593392
41,1250,0.2,left,0.1789496510978871,7.356185815488847e-05,-67.72156330188457
42,1250,0.2,right,0.1789496510978871,5.86240921054177e-05,-69.69309451985421
43,1600,0.0125,left,0.011188911536192876,4.284403108960483e-06,-68.33795028762266
44,1600,0.0125,right,0.009616445660955915,5.081940169350924e-06,-65.53970068386047
45,1600,0.05,left,0.04368091267099074,1.7133670823701248e-05,-68.12882570175458
46,1600,0.05,right,0.02848364296370401,1.1249238899413092e-05,-68.069447867663
47,1600,0.2,left,0.17045347980617845,6.701143119657107e-05,-68.10913956588496
48,1600,0.2,right,0.17045347980617845,7.854375502320402e-05,-66.72988423146467
49,2000,0.0125,left,0.010662418708607877,3.648181195317873e-06,-69.31558665308893
50,2000,0.0125,right,0.010662418708607877,4.259447640034163e-06,-67.97004898211007
51,2000,0.05,left,0.042072719628350685,1.4397193703972675e-05,-69.31445476797477
52,2000,0.05,right,0.042072719628350685,1.702231215752949e-05,-67.85964071614909
53,2000,0.2,left,0.16828774035268745,5.768767676438381e-05,-69.29938859900378
54,2000,0.2,right,0.1661814591916407,6.73510203250058e-05,-67.84476777342691
55,2500,0.0125,left,0.010388526089302788,3.2989486049940944e-06,-69.96356770304456
