action	id	fragment	bootdirs
KEEP	sp11-audio-cps-v3	/etc/grub.d/58_sp11_audio_cps_v3	/boot/sp11-7.1.5-audio-cps-v3
KEEP	sp11-audio-v32-feedback-exact-golden	/etc/grub.d/81_sp11_audio_v32_feedback_exact_golden	/boot/sp11-7.1.5-audio-v32-feedback-exact-golden
REMOVE	sp11-audio-v31-postpa-offset2-cpswake-tap3	/etc/grub.d/82_sp11_audio_v31_postpa_offset2_cpswake_tap3	/boot/sp11-7.1.5-audio-v31-wsa-protclk-postpa-offset2-cpswake-fwselect
REMOVE	sp11-audio-v31-postpa-offset2-tap3	/etc/grub.d/83_sp11_audio_v31_postpa_offset2_tap3	/boot/sp11-7.1.5-audio-v31-wsa-protclk-postpa-offset2-fwselect
REMOVE	sp11-audio-v31-wsa-protclk-postpa-offset2	/etc/grub.d/83_sp11_audio_v31_wsa_protclk_postpa_offset2	/boot/sp11-7.1.5-audio-v31-wsa-protclk-postpa-offset2
REMOVE	sp11-audio-v31-postpa-offset2-tap2	/etc/grub.d/84_sp11_audio_v31_postpa_offset2_tap2	/boot/sp11-7.1.5-audio-v31-wsa-protclk-postpa-offset2-fwselect
REMOVE	sp11-audio-v31-wsa-protclk-postpa	/etc/grub.d/84_sp11_audio_v31_wsa_protclk_postpa	/boot/sp11-7.1.5-audio-v31-wsa-protclk-postpa
REMOVE	sp11-audio-v31-stm-hwd4-probe	/etc/grub.d/86_sp11_audio_v31_stm_hwd4_probe	/boot/sp11-7.1.5-audio-v31-stm-hwd4-probe
REMOVE	sp11-audio-v31-dp14-tap3forced	/etc/grub.d/87_sp11_audio_v31_dp14_tap3forced	/boot/sp11-7.1.5-audio-v31-dp14-tap3forced
REMOVE	sp11-audio-v31-feedback-active-offset2-zero	/etc/grub.d/87_sp11_audio_v31_feedback_active_offset2_zero	/boot/sp11-7.1.5-audio-v31-feedback-active-offset2-zero
REMOVE	sp11-audio-v31-dp14-tap2forced	/etc/grub.d/88_sp11_audio_v31_dp14_tap2forced	/boot/sp11-7.1.5-audio-v31-dp14-tap2forced
REMOVE	sp11-audio-v31-feedback-offset2-tap3forced	/etc/grub.d/88_sp11_audio_v31_feedback_offset2_tap3forced	/boot/sp11-7.1.5-audio-v31-feedback-offset2-tap3forced
REMOVE	sp11-audio-v31-dp14-shadow	/etc/grub.d/89_sp11_audio_v31_dp14_shadow	/boot/sp11-7.1.5-audio-v31-dp14-shadow
REMOVE	sp11-audio-v31-feedback-offset2-tap2forced	/etc/grub.d/89_sp11_audio_v31_feedback_offset2_tap2forced	/boot/sp11-7.1.5-audio-v31-feedback-offset2-tap2forced
REMOVE	sp11-audio-v31-hostclk-pcm105c	/etc/grub.d/90_sp11_audio_v31_hostclk_pcm105c	/boot/sp11-7.1.5-audio-v31-hostclk-pcm105c
REMOVE	sp11-audio-v31-cps-pcm-105c-tap3-clock312	/etc/grub.d/91_sp11_audio_v31_cps_pcm_105c_tap3_clock312	/boot/sp11-7.1.5-audio-v31-cps-pcm-port-ctrl-105c
REMOVE	sp11-audio-v31-wsa-host-clk-div2	/etc/grub.d/91_sp11_audio_v31_wsa_host_clk_div2	/boot/sp11-7.1.5-audio-v31-wsa-host-clk-div2
REMOVE	sp11-audio-v31-wsa-protclk-offset2-combo	/etc/grub.d/91_sp11_audio_v31_wsa_protclk_offset2_combo	/boot/sp11-7.1.5-audio-v31-wsa-protclk-offset2-combo
REMOVE	sp11-audio-v31-cps-pcm-port-ctrl-105c	/etc/grub.d/92_sp11_audio_v31_cps_pcm_port_ctrl_105c	/boot/sp11-7.1.5-audio-v31-cps-pcm-port-ctrl-105c
REMOVE	sp11-audio-v31-wsa-protclk-machine-oracle	/etc/grub.d/92_sp11_audio_v31_wsa_protclk_machine_oracle	/boot/sp11-7.1.5-audio-v31-wsa-protclk-machine-oracle
REMOVE	sp11-audio-v31-cps-pcm-port-ctrl	/etc/grub.d/93_sp11_audio_v31_cps_pcm_port_ctrl	/boot/sp11-7.1.5-audio-v31-cps-pcm-port-ctrl
REMOVE	sp11-audio-v31-wsa-protclk-oracle	/etc/grub.d/93_sp11_audio_v31_wsa_protclk_oracle	/boot/sp11-7.1.5-audio-v31-wsa-protclk-oracle
REMOVE	sp11-audio-v31-feedback-poststart-v2	/etc/grub.d/94_sp11_audio_v31_feedback_poststart_v2	/boot/sp11-7.1.5-audio-v31-feedback-poststart-v2
REMOVE	sp11-audio-v31-postpa-offset2-cpswake-canonical	/etc/grub.d/94_sp11_audio_v31_postpa_offset2_cpswake_canonical	/boot/sp11-7.1.5-audio-v31-wsa-protclk-postpa-offset2-cpswake-fwselect
REMOVE	sp11-audio-v31-feedback-poststart	/etc/grub.d/95_sp11_audio_v31_feedback_poststart	/boot/sp11-7.1.5-audio-v31-feedback-poststart
REMOVE	sp11-audio-v31-vi-macro-diag	/etc/grub.d/95_sp11_audio_v31_vi_macro_diag	/boot/sp11-7.1.5-audio-v31-vi-macro-diag
REMOVE	sp11-audio-v31-tap3diag	/etc/grub.d/96_sp11_audio_v31_tap3diag	/boot/sp11-7.1.5-audio-v31-tap3diag
KEEP	sp11-audio-golden-v31	/etc/grub.d/97_sp11_audio_golden_v31	/boot/sp11-7.1.5-audio-golden-v31-ckv-delta
KEEP	sp11-audio-golden-v28	/etc/grub.d/98_sp11_audio_golden_v28	/boot/sp11-7.1.5-audio-rpv4-macro84-winproducer-nohd2-wsa-windows-3state-retain-dp2offset2-v28-idlegated
