elapsed_s	utc	amp	r_3015	r_3016	r_3034	r_3076	r_3077	r_3078	r_3079	r_307a	r_307b	r_3091	r_3430	r_3435	r_3436	r_3438	r_3439	r_3450	r_3452	r_3453	r_3454	r_3455	r_345a	r_345b	r_345c	r_345d	r_3464	r_3468	r_34d8	r_34e0	pa_enabled	current_limit_override	current_limit_code	pa_error_nonzero	cps_ctl_nonzero
0.023	2026-08-23T07:27:51.270683825Z	sdw:1:0:0217:0204:00:0	XX	XX	XX	XX	XX	XX	XX	XX	XX	44	00	XX	XX	XX	XX	03	XX	XX	XX	XX	XX	XX	XX	XX	31	00	07	02	0	0	17	0	0
0.054	2026-08-23T07:27:51.301573323Z	sdw:1:0:0217:0204:00:1	XX	XX	XX	XX	XX	XX	XX	XX	XX	44	00	XX	XX	XX	XX	03	XX	XX	XX	XX	XX	XX	XX	XX	31	00	07	02	0	0	17	0	0
13.023	2026-08-23T07:28:04.271679249Z	sdw:1:0:0217:0204:00:0	c4	60	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	72	80	72	80	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
24.972	2026-08-23T07:28:16.220986202Z	sdw:1:0:0217:0204:00:1	c4	a0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	70	00	70	00	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
25.545	2026-08-23T07:28:16.796987690Z	sdw:1:0:0217:0204:00:0	72	a0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	72	80	72	80	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
25.601	2026-08-23T07:28:16.848467792Z	sdw:1:0:0217:0204:00:1	70	60	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	70	00	70	00	c4	c0	c3	c0	31	00	07	02	1	0	17	0	0
26.167	2026-08-23T07:28:17.420905798Z	sdw:1:0:0217:0204:00:0	c4	60	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	72	80	72	80	c4	c0	c3	c0	31	00	07	02	1	0	17	0	0
26.224	2026-08-23T07:28:17.472640266Z	sdw:1:0:0217:0204:00:1	70	60	80	b0	ec	c9	04	02	64	44	01	2f	00	00	00	03	70	00	70	00	c5	80	c3	c0	31	00	07	02	1	0	17	0	0
26.788	2026-08-23T07:28:18.36166834Z	sdw:1:0:0217:0204:00:0	72	a0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	72	80	72	80	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
26.841	2026-08-23T07:28:18.88304623Z	sdw:1:0:0217:0204:00:1	70	e0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	70	00	70	00	c4	c0	c3	c0	31	00	07	02	1	0	17	0	0
27.403	2026-08-23T07:28:18.652953603Z	sdw:1:0:0217:0204:00:0	c4	60	80	b0	ec	c9	05	02	65	44	01	2f	00	00	00	03	72	80	72	80	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
27.458	2026-08-23T07:28:18.705827619Z	sdw:1:0:0217:0204:00:1	70	e0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	70	00	70	00	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
28.020	2026-08-23T07:28:19.272752986Z	sdw:1:0:0217:0204:00:0	72	a0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	72	80	72	80	c4	40	c3	c0	31	00	07	02	1	0	17	0	0
28.076	2026-08-23T07:28:19.324939836Z	sdw:1:0:0217:0204:00:1	c4	e0	80	b0	ec	c9	03	02	63	44	01	2f	00	00	00	03	70	00	70	00	c4	00	c3	c0	31	00	07	02	1	0	17	0	0
28.643	2026-08-23T07:28:19.894949429Z	sdw:1:0:0217:0204:00:0	c4	a0	80	b0	ec	c9	04	02	64	44	01	2f	00	00	00	03	72	80	72	80	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
28.700	2026-08-23T07:28:19.954634846Z	sdw:1:0:0217:0204:00:1	c5	20	80	b0	ec	c9	08	02	68	44	01	2f	00	00	00	03	70	00	70	00	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
29.269	2026-08-23T07:28:20.518646398Z	sdw:1:0:0217:0204:00:0	72	a0	80	b0	ec	c9	04	02	64	44	01	2f	00	00	00	03	72	80	72	80	c4	40	c3	c0	31	00	07	02	1	0	17	0	0
29.327	2026-08-23T07:28:20.579311628Z	sdw:1:0:0217:0204:00:1	70	20	80	b0	ec	c9	04	02	64	44	01	2f	00	00	00	03	70	00	70	00	c4	c0	c3	c0	31	00	07	02	1	0	17	0	0
29.897	2026-08-23T07:28:21.148795456Z	sdw:1:0:0217:0204:00:0	c5	a0	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	72	80	72	80	c4	80	c3	c0	31	00	07	02	1	0	17	0	0
29.954	2026-08-23T07:28:21.203124114Z	sdw:1:0:0217:0204:00:1	c4	20	80	b0	ec	c9	02	02	62	44	01	2f	00	00	00	03	70	00	70	00	c4	40	c3	c0	31	00	07	02	1	0	17	0	0
