# accepted FullIO v19c newc header metadata; filesize/namesize are recomputed
name	ino	mode	uid	gid	nlink	mtime	devmajor	devminor	rdevmajor	rdevminor	check
.	000000cf	000041ed	000003e8	000003e8	00000008	6a8eba6d	00000000	00000030	00000000	00000000	00000000
bin	000000d3	0000a1ff	000003e8	000003e8	00000001	6a824d38	00000000	00000030	00000000	00000000	00000000
conf	000000d4	000041ed	000003e8	000003e8	00000003	6a8eba6c	00000000	00000030	00000000	00000000	00000000
conf/arch.conf	000000d5	000081a4	000003e8	000003e8	00000001	6a824d3a	00000000	00000030	00000000	00000000	00000000
conf/conf.d	000000d6	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
conf/conf.d/kernel-version	000000d7	000081a4	000003e8	000003e8	00000001	6a587aef	00000000	00000030	00000000	00000000	00000000
conf/initramfs.conf	000000d8	000081a4	000003e8	000003e8	00000001	689c861c	00000000	00000030	00000000	00000000	00000000
conf/modules	000000d9	000081a4	000003e8	000003e8	00000001	6a824d47	00000000	00000030	00000000	00000000	00000000
etc	000000da	000041ed	000003e8	000003e8	00000009	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/casper.conf	000000db	000081a4	000003e8	000003e8	00000001	6a824d43	00000000	00000030	00000000	00000000	00000000
etc/console-setup	000000dc	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/console-setup/Uni2-Fixed16.psf.gz	000000de	000081a4	000003e8	000003e8	00000001	6a53700c	00000000	00000030	00000000	00000000	00000000
etc/console-setup/cached_UTF-8_del.kmap.gz	000000dd	000081a4	000003e8	000003e8	00000001	6a53700c	00000000	00000030	00000000	00000000	00000000
etc/default	000000df	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/default/console-setup	000000e0	000081a4	000003e8	000003e8	00000001	69c4933a	00000000	00000030	00000000	00000000	00000000
etc/default/keyboard	000000e1	000081a4	000003e8	000003e8	00000001	6a53700a	00000000	00000030	00000000	00000000	00000000
etc/dhcpcd.conf	000000e2	000081a4	000003e8	000003e8	00000001	6a824d43	00000000	00000030	00000000	00000000	00000000
etc/fonts	000000e3	000041ed	000003e8	000003e8	00000003	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/fonts/conf.d	000000e4	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/fonts/conf.d/60-latin.conf	000000e5	000081a4	000003e8	000003e8	00000001	6a824d45	00000000	00000030	00000000	00000000	00000000
etc/fonts/fonts.conf	000000e6	000081a4	000003e8	000003e8	00000001	6970cc77	00000000	00000030	00000000	00000000	00000000
etc/fstab	000000e7	000081a4	000003e8	000003e8	00000001	6a824d3a	00000000	00000030	00000000	00000000	00000000
etc/ld.so.cache	000000e8	000081a4	000003e8	000003e8	00000001	6a824d48	00000000	00000030	00000000	00000000	00000000
etc/ld.so.conf	000000e9	000081a4	000003e8	000003e8	00000001	6994e323	00000000	00000030	00000000	00000000	00000000
etc/ld.so.conf.d	000000ea	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/ld.so.conf.d/aarch64-linux-gnu.conf	000000eb	000081a4	000003e8	000003e8	00000001	6994e323	00000000	00000030	00000000	00000000	00000000
etc/ld.so.conf.d/fakeroot-aarch64-linux-gnu.conf	000000ec	000081a4	000003e8	000003e8	00000001	696bd087	00000000	00000030	00000000	00000000	00000000
etc/ld.so.conf.d/libc.conf	000000ed	000081a4	000003e8	000003e8	00000001	6994e323	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d	000000ee	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/alsa-base.conf	000000ef	000081a4	000003e8	000003e8	00000001	6933f8f7	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-ath_pci.conf	000000f0	000081a4	000003e8	000003e8	00000001	69810919	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-firewire.conf	000000f2	000081a4	000003e8	000003e8	00000001	69810919	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-framebuffer.conf	000000f3	000081a4	000003e8	000003e8	00000001	69810919	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-modem.conf	000000f4	000081a4	000003e8	000003e8	00000001	6933f8f7	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-oss.conf	000000f5	0000a1ff	000003e8	000003e8	00000001	6a824d3a	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-qcom-battmgr.conf	000000f6	000081a4	000003e8	000003e8	00000001	6a5b9dbf	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist-rare-network.conf	000000f7	000081a4	000003e8	000003e8	00000001	69810919	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/blacklist.conf	000000f1	000081a4	000003e8	000003e8	00000001	69810919	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/dkms.conf	000000f8	000081a4	000003e8	000003e8	00000001	69839610	00000000	00000030	00000000	00000000	00000000
etc/modprobe.d/iwlwifi.conf	000000f9	000081a4	000003e8	000003e8	00000001	69810919	00000000	00000030	00000000	00000000	00000000
etc/mtab	000000fa	0000a1ff	000003e8	000003e8	00000001	6a824d3a	00000000	00000030	00000000	00000000	00000000
etc/nsswitch.conf	000000fb	000081a4	000003e8	000003e8	00000001	6a824d48	00000000	00000030	00000000	00000000	00000000
etc/os-release	000000fc	000081a4	000003e8	000003e8	00000001	6a824d45	00000000	00000030	00000000	00000000	00000000
etc/passwd	000000fd	000081a4	000003e8	000003e8	00000001	6a824d45	00000000	00000030	00000000	00000000	00000000
etc/plymouth	000000fe	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/plymouth/plymouthd.conf	000000ff	000081a4	000003e8	000003e8	00000001	69b2cd38	00000000	00000030	00000000	00000000	00000000
etc/udev	00000100	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
etc/udev/udev.conf	00000101	000081a4	000003e8	000003e8	00000001	69b42eac	00000000	00000030	00000000	00000000	00000000
init	00000102	000081ed	000003e8	000003e8	00000001	69ce4600	00000000	00000030	00000000	00000000	00000000
lib	00000103	0000a1ff	000003e8	000003e8	00000001	6a824d38	00000000	00000030	00000000	00000000	00000000
run	00000104	000041ed	000003e8	000003e8	00000002	6a824d38	00000000	00000030	00000000	00000000	00000000
sbin	00000105	0000a1ff	000003e8	000003e8	00000001	6a824d38	00000000	00000030	00000000	00000000	00000000
scripts	00000106	000041ed	000003e8	000003e8	0000000a	6a8eba6c	00000000	00000030	00000000	00000000	00000000
scripts/casper	00000107	000081a4	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom	00000108	000041ed	000003e8	000003e8	00000002	6a8eba6c	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/05mountpoints	00000109	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/12fstab	0000010a	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/13swap	0000010b	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/14locales	0000010c	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/15autologin	0000010d	000081ed	000003e8	000003e8	00000001	69bd71dd	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/18hostname	0000010e	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/19keyboard	0000010f	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/20xconfig	00000110	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/22desktop_settings	00000111	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/22sslcert	00000112	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/24preseed	00000113	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/25adduser	00000114	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/25configure_init	00000115	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/25disable_cdrom.mount	00000116	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/30accessibility	00000117	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/31disable_update_notifier	00000118	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/33enable_apport_crashes	00000119	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/34disable_kde_services	0000011a	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/37disable_screensaver_lubuntu	0000011b	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/40install_driver_updates	0000011c	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/41apt_build_cache_cdrom	0000011d	000081ed	000003e8	000003e8	00000001	69c2aff1	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/43disable_updateinitramfs	0000011e	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/44pk_allow_ubuntu	0000011f	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
scripts/casper-bottom/45jackd2	00000120	000081ed	000003e8	000003e8	00000001	69740d88	00000000	00000030	00000000	00000000	00000000
